%26/03/2021 10:48:01
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+2724.155000	-00.000000	+00.000000	+00.000000	+00.000000	+00.000000
+2720.017000	-00.000000	+00.199900	+00.122000	+00.199900	+00.122000
+2716.684000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+2713.987000	-00.000000	+00.599800	+00.406900	+00.599800	+00.406900
+2706.235000	-00.000000	+00.799900	+00.569600	+00.799900	+00.528900
+2699.118000	-00.000000	+00.999900	+00.691700	+00.999900	+00.691700
+2690.622000	-00.000000	+01.199900	+00.854400	+01.199900	+00.854400
+2682.003000	-00.000000	+01.399800	+01.017200	+01.399800	+01.017200
+2666.158000	-00.000000	+01.599900	+01.098600	+01.599900	+01.139300
+2652.376000	-00.000000	+01.799900	+01.302000	+01.799900	+01.261300
+2628.999000	-00.000000	+01.999900	+01.424100	+01.999900	+01.424100
+2615.107000	-00.000000	+02.199800	+01.546200	+02.199800	+01.586900
+2593.194000	-00.000000	+02.399900	+01.708900	+02.399900	+01.708900
+2568.523000	-00.000000	+02.599900	+01.790300	+02.599900	+01.831000
+2539.750000	-00.000000	+02.799900	+01.953100	+02.799900	+01.953100
+2513.553000	-00.000000	+02.999800	+02.075100	+02.999800	+02.115800
+2478.237000	-00.000000	+03.199900	+02.237900	+03.199900	+02.237900
+2442.567000	-00.000000	+03.399900	+02.360000	+03.399900	+02.400700
+2406.409000	-00.000000	+03.599900	+02.522700	+03.599900	+02.522700
+2358.983000	-00.000000	+03.799800	+02.644800	+03.799800	+02.644800
+2310.764000	-00.000000	+03.999900	+02.807600	+03.999900	+02.766900
+2265.902000	-00.000000	+04.199900	+02.929600	+04.199900	+02.929600
+2213.398000	-00.000000	+04.399900	+03.051700	+04.399900	+03.092400
+2164.702000	-00.000000	+04.599800	+03.214500	+04.599800	+03.214500
+2116.923000	-00.000000	+04.799900	+03.336500	+04.799900	+03.336500
+2066.091000	-00.000000	+04.999900	+03.499300	+04.999900	+03.458600
+2021.668000	-00.000000	+05.199900	+03.621400	+05.199900	+03.621400
+1970.568000	-00.000000	+05.399800	+03.743400	+05.399800	+03.743400
+1912.827000	-00.000000	+05.599900	+03.865500	+05.599900	+03.906200
+1857.100000	-00.000000	+05.799900	+04.028300	+05.799900	+04.028300
+1799.420000	-00.000000	+05.999900	+04.150300	+05.999900	+04.150300
+1738.066000	-00.000000	+06.199800	+04.272400	+06.199800	+04.313100
+1681.912000	-00.000000	+06.400000	+04.435200	+06.400000	+04.435200
+1622.974000	-00.000000	+06.599900	+04.516600	+06.599900	+04.557200
+1560.753000	-00.000000	+06.799900	+04.679300	+06.799900	+04.679300
+1497.226000	-00.000000	+06.999800	+04.801400	+06.999800	+04.801400
+1431.343000	-00.000000	+07.200000	+04.923500	+07.200000	+04.923500
+1365.032000	-00.000000	+07.399900	+05.045500	+07.399900	+05.045500
+1296.951000	-00.000000	+07.599900	+05.167600	+07.599900	+05.167600
+1232.179000	-00.000000	+07.799800	+05.249000	+07.799800	+05.289700
+1168.126000	-00.000000	+08.000000	+05.371000	+08.000000	+05.411700
+1101.559000	-00.000000	+08.199900	+05.493100	+08.199900	+05.533800
+1035.932000	-00.000000	+08.399900	+05.655900	+08.399900	+05.615200
+968.914000	-00.000000	+08.599800	+05.777900	+08.599800	+05.777900
+901.773000	-00.000000	+08.800000	+05.859300	+08.800000	+05.859300
+834.462000	-00.000000	+08.999900	+06.022100	+08.999900	+06.022100
+767.040000	-00.000000	+09.199900	+06.144200	+09.199900	+06.103500
+695.981000	-00.000000	+09.399800	+06.225500	+09.399800	+06.266200
+624.738000	-00.000000	+09.600000	+06.347600	+09.600000	+06.388300
+553.935000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+491.079000	-00.000000	+09.999900	+06.591700	+09.999900	+06.591700
+435.621000	-00.000000	+10.199800	+06.754500	+10.199800	+06.713800
+384.338000	-00.000000	+10.399900	+06.835900	+10.399900	+06.835900
+337.962000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+292.770000	-00.000000	+10.799900	+07.039300	+10.799900	+07.039300
+253.584000	-00.000000	+10.999800	+07.120700	+10.999800	+07.161400
+218.842000	-00.000000	+11.199900	+07.242800	+11.199900	+07.242800
+190.802000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+166.802000	-00.000000	+11.599900	+07.486900	+11.599900	+07.446200
+151.567000	-00.000000	+11.799800	+07.568300	+11.799800	+07.568300
+141.203000	-00.000000	+12.000000	+07.690400	+12.000000	+07.690400
+152.190000	-00.000000	+11.799800	+07.568300	+11.799800	+07.568300
+169.829000	-00.000000	+11.599900	+07.486900	+11.599900	+07.446200
+193.707000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+222.748000	-00.000000	+11.199900	+07.242800	+11.199900	+07.242800
+259.578000	-00.000000	+10.999800	+07.120700	+10.999800	+07.120700
+298.373000	-00.000000	+10.799900	+06.998600	+10.799900	+06.998600
+344.578000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+392.981000	-00.000000	+10.399900	+06.835900	+10.399900	+06.795200
+446.583000	-00.000000	+10.199800	+06.673100	+10.199800	+06.713800
+501.175000	-00.000000	+09.999900	+06.591700	+09.999900	+06.591700
