%Averaged_Voltage[V]	Averaged_Current[mA]	Averaged_Current-PD[mA]
+00.000000	-00.032480	-02.010080
+00.099900	-00.020300	-02.223298
+00.199900	+00.000000	-02.252760
+00.299900	+00.004060	-02.255686
+00.399900	+00.024360	-02.280369
+00.499800	+00.056880	-02.295017
+00.599800	+00.081300	-02.292422
+00.699800	+00.097580	-02.292162
+00.799900	+00.130140	-02.304316
+00.899900	+00.166770	-02.325882
+00.999900	+00.199330	-02.352458
+01.099900	+00.219680	-02.355116
+01.199900	+00.244100	-02.363522
+01.299800	+00.256310	-02.380642
+01.399800	+00.280730	-02.382354
+01.499800	+00.317360	-02.415085
+01.599900	+00.345850	-02.434639
+01.699900	+00.382480	-02.448804
+01.799900	+00.410950	-02.470570
+01.899900	+00.435330	-02.493097
+01.999900	+00.455640	-02.515700
+02.099800	+00.480060	-02.530170
+02.199800	+00.512620	-02.531617
+02.299800	+00.532970	-02.543972
+02.399900	+00.553320	-02.561487
+02.499900	+00.589950	-02.616149
+02.599900	+00.602160	-02.646035
+02.699900	+00.630650	-02.697863
+02.799900	+00.659140	-02.715246
+02.899800	+00.683560	-02.753535
+02.999800	+00.707980	-02.757363
+03.099800	+00.736470	-02.745556
+03.199900	+00.760890	-02.744376
+03.299900	+00.805660	-02.728018
+03.399900	+00.817860	-02.722322
+03.499900	+00.846280	-02.737992
+03.599900	+00.862540	-02.759869
+03.699800	+00.882890	-02.770197
+03.799800	+00.891030	-02.795650
+03.899800	+00.915450	-02.810405
