%Averaged_Voltage[V]	Averaged_Current[mA]	Averaged_Current-PD[mA]
+03.999900	+00.980570	-02.852360
+03.899800	+00.923590	-03.109116
+03.799800	+00.899170	-03.110372
+03.699800	+00.886960	-03.090147
+03.599900	+00.870680	-03.051495
+03.499900	+00.858470	-03.023209
+03.399900	+00.834100	-03.016311
+03.299900	+00.797520	-02.978991
+03.199800	+00.773100	-02.930489
+03.099800	+00.740540	-02.880869
+02.999800	+00.720190	-02.831137
+02.899800	+00.683560	-02.789534
+02.799900	+00.663210	-02.736593
+02.699900	+00.630650	-02.698779
+02.599900	+00.602160	-02.662438
+02.499900	+00.585880	-02.634384
+02.399800	+00.561460	-02.590878
+02.299800	+00.541110	-02.562108
+02.199800	+00.520760	-02.555161
+02.099800	+00.488200	-02.546326
+01.999900	+00.467850	-02.569863
+01.899900	+00.435320	-02.539656
+01.799900	+00.410950	-02.532566
+01.699900	+00.378410	-02.531857
+01.599800	+00.345850	-02.531786
+01.499800	+00.317360	-02.531779
+01.399800	+00.280730	-02.507358
+01.299800	+00.256310	-02.484566
+01.199900	+00.235960	-02.461937
+01.099900	+00.215610	-02.447464
+00.999900	+00.195260	-02.421596
+00.899900	+00.158630	-02.402730
+00.799800	+00.130140	-02.396773
+00.699800	+00.109790	-02.375827
+00.599800	+00.081300	-02.369663
+00.499800	+00.060950	-02.369046
+00.399900	+00.004060	-02.348635
+00.299900	+00.000000	-02.330313
+00.199900	-00.008120	-02.328481
+00.099900	-00.032480	-02.332368
