%Averaged_Voltage[V]	Averaged_Current[mA]	Averaged_Current-PD[mA]
+00.000000	-00.028420	-03.344640
+00.099900	-00.020300	-03.675034
+00.199900	+00.000000	-03.699933
+00.299900	+00.000000	-03.673933
+00.399900	+00.020300	-03.707963
+00.499800	+00.056880	-03.723576
+00.599800	+00.089440	-03.745488
+00.699800	+00.122000	-03.772099
+00.799900	+00.138280	-03.799180
+00.899900	+00.158630	-03.797818
+00.999900	+00.187120	-03.797682
+01.099900	+00.223750	-03.822088
+01.199900	+00.240030	-03.820459
+01.299800	+00.260380	-03.828436
+01.399800	+00.280730	-03.845514
+01.499800	+00.321430	-03.883851
+01.599900	+00.349920	-03.920245
+01.699900	+00.382480	-03.899465
+01.799900	+00.415020	-03.872966
+01.899900	+00.447510	-03.882527
+01.999900	+00.471920	-03.887553
+02.099800	+00.484130	-03.896195
+02.199800	+00.516690	-03.917410
+02.299800	+00.532970	-03.927671
+02.399900	+00.569600	-03.965327
+02.499900	+00.581810	-03.969093
+02.599900	+00.594020	-03.973539
+02.699900	+00.630650	-03.994334
+02.799900	+00.663210	-03.988273
+02.899800	+00.691700	-04.016157
+02.999800	+00.728330	-04.084016
+03.099800	+00.748680	-04.086742
+03.199900	+00.773100	-04.127654
+03.299900	+00.805660	-04.217215
+03.399900	+00.825980	-04.270942
+03.499900	+00.846280	-04.365854
+03.599900	+00.870680	-04.379415
+03.699800	+00.886960	-04.392982
+03.799800	+00.907310	-04.422828
+03.899800	+00.927660	-04.454303
