%Averaged_Voltage[V]	Averaged_Current[mA]	Averaged_Current-PD[mA]
+03.999900	+00.976500	-04.117820
+03.899800	+00.927660	-04.456362
+03.799800	+00.915450	-04.372186
+03.699800	+00.886960	-04.302719
+03.599900	+00.870680	-04.287632
+03.499900	+00.854400	-04.204723
+03.399900	+00.830040	-04.163872
+03.299900	+00.805660	-04.127237
+03.199800	+00.764960	-04.062614
+03.099800	+00.740540	-04.003241
+02.999800	+00.720190	-03.968814
+02.899800	+00.687630	-03.945021
+02.799900	+00.651000	-03.910082
+02.699900	+00.622510	-03.878098
+02.599900	+00.602160	-03.826060
+02.499900	+00.581810	-03.796436
+02.399800	+00.561460	-03.781264
+02.299800	+00.528900	-03.718696
+02.199800	+00.512620	-03.696160
+02.099800	+00.488200	-03.685766
+01.999900	+00.455640	-03.664377
+01.899900	+00.435320	-03.650058
+01.799900	+00.402820	-03.636436
+01.699900	+00.386550	-03.651324
+01.599800	+00.349920	-03.624382
+01.499800	+00.313290	-03.597288
+01.399800	+00.284800	-03.566089
+01.299800	+00.252240	-03.558899
+01.199900	+00.235960	-03.541900
+01.099900	+00.211540	-03.519850
+00.999900	+00.191190	-03.513575
+00.899900	+00.154560	-03.517017
+00.799800	+00.130140	-03.488872
+00.699800	+00.109790	-03.469777
+00.599800	+00.093510	-03.459728
+00.499800	+00.052810	-03.475003
+00.399900	+00.020300	-03.456180
+00.299900	+00.000000	-03.474648
+00.199900	-00.012180	-03.472425
+00.099900	-00.032480	-03.492552
