%25/03/2021 18:15:16
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%0.0	
%4.0	
%0.2	
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Ciascun canale pilota una termoresistenza%PD at channel 3: Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]
+15.238000	-00.081300	+00.000000	+00.081300
+15.073000	-00.081300	+00.199900	+00.040600
+15.068000	-00.081300	+00.399900	+00.081300
+15.051000	-00.081300	+00.599800	+00.081300
+15.109000	-00.081300	+00.799900	+00.081300
+15.117000	-00.081300	+00.999900	+00.081300
+15.076000	-00.081300	+01.199900	+00.081300
+15.213000	-00.081300	+01.399800	+00.122000
+15.097000	-00.081300	+01.599900	+00.122000
+15.074000	-00.081300	+01.799900	+00.081300
+15.142000	-00.081300	+01.999900	+00.081300
+15.206000	-00.081300	+02.199800	+00.122000
+15.188000	-00.081300	+02.399900	+00.081300
+15.190000	-00.040600	+02.599900	+00.081300
+15.174000	-00.081300	+02.799900	+00.122000
+15.284000	-00.081300	+02.999800	+00.122000
+15.204000	-00.081300	+03.199900	+00.122000
+15.042000	-00.040600	+03.399900	+00.162700
+15.093000	-00.081300	+03.599900	+00.122000
+15.184000	-00.081300	+03.799800	+00.162700
+15.182000	-00.081300	+03.999900	+00.122000
+15.184000	-00.081300	+03.799800	+00.122000
+15.157000	-00.081300	+03.599900	+00.122000
+15.288000	-00.081300	+03.399900	+00.122000
+15.115000	-00.040600	+03.199800	+00.122000
+15.217000	-00.040600	+02.999800	+00.122000
+15.093000	-00.081300	+02.799900	+00.122000
+15.173000	-00.040600	+02.599900	+00.122000
+15.130000	-00.081300	+02.399800	+00.081300
+15.179000	-00.040600	+02.199800	+00.122000
+15.169000	-00.081300	+01.999900	+00.122000
+15.063000	-00.081300	+01.799900	+00.081300
+15.101000	-00.081300	+01.599800	+00.081300
+15.095000	-00.081300	+01.399800	+00.122000
+15.148000	-00.040600	+01.199900	+00.081300
+15.143000	-00.081300	+00.999900	+00.040600
+15.174000	-00.081300	+00.799800	+00.081300
+15.058000	-00.081300	+00.599800	+00.081300
+15.078000	-00.040600	+00.399900	+00.040600
+15.177000	-00.081300	+00.199900	+00.040600
