%26/03/2021 10:29:21
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%0.0	0.0
%10.0	10.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Ciascun canale pilota una termoresistenza
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+15.723000	-00.000000	+00.000000	-00.040600	+00.000000	-00.040600
+15.747000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
+15.695000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+15.843000	-00.000000	+00.599800	+00.366200	+00.599800	+00.406900
+15.681000	-00.000000	+00.799900	+00.569600	+00.799900	+00.528900
+15.723000	-00.000000	+00.999900	+00.651000	+00.999900	+00.691700
+15.774000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+15.708000	-00.000000	+01.399800	+00.976500	+01.399800	+00.976500
+15.631000	-00.000000	+01.599900	+01.098600	+01.599900	+01.139300
+15.699000	-00.000000	+01.799900	+01.261300	+01.799900	+01.261300
+15.694000	-00.000000	+01.999900	+01.383400	+01.999900	+01.424100
+15.822000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+15.727000	-00.000000	+02.399900	+01.668200	+02.399900	+01.668200
+15.719000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+15.720000	-00.000000	+02.799900	+01.953100	+02.799900	+01.912400
+15.721000	-00.000000	+02.999800	+02.034500	+02.999800	+02.075100
+15.804000	-00.000000	+03.199900	+02.197200	+03.199900	+02.197200
+15.793000	-00.000000	+03.399900	+02.360000	+03.399900	+02.360000
+15.762000	-00.000000	+03.599900	+02.482000	+03.599900	+02.522700
+15.710000	-00.000000	+03.799800	+02.644800	+03.799800	+02.604100
+15.713000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+15.735000	-00.000000	+04.199900	+02.929600	+04.199900	+02.888900
+15.816000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+15.696000	-00.000000	+04.599800	+03.173800	+04.599800	+03.173800
+15.815000	-00.000000	+04.799900	+03.295800	+04.799900	+03.336500
+15.821000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+15.720000	-00.000000	+05.199900	+03.580700	+05.199900	+03.621400
+15.690000	-00.000000	+05.399800	+03.702700	+05.399800	+03.743400
+15.736000	-00.000000	+05.599900	+03.865500	+05.599900	+03.824800
+15.876000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
+15.705000	-00.000000	+05.999900	+04.109700	+05.999900	+04.150300
+15.704000	-00.000000	+06.199800	+04.231700	+06.199800	+04.231700
+15.734000	-00.000000	+06.400000	+04.394500	+06.400000	+04.394500
+15.755000	-00.000000	+06.599900	+04.516600	+06.599900	+04.516600
+15.736000	-00.000000	+06.799900	+04.679300	+06.799900	+04.679300
