%26/03/2021 11:18:48
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+1737.309000	-00.000000	+00.000000	+00.000000	+00.000000	+00.000000
+1746.403000	-00.000000	+00.199900	+00.122000	+00.199900	+00.122000
+1750.822000	-00.000000	+00.399900	+00.284800	+00.399900	+00.284800
+1740.324000	-00.000000	+00.599800	+00.406900	+00.599800	+00.406900
+1738.371000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+1720.817000	-00.000000	+00.999900	+00.732400	+00.999900	+00.691700
+1722.501000	-00.000000	+01.199900	+00.854400	+01.199900	+00.854400
+1727.055000	-00.000000	+01.399800	+01.017200	+01.399800	+01.017200
+1713.858000	-00.000000	+01.599900	+01.139300	+01.599900	+01.139300
+1703.873000	-00.000000	+01.799900	+01.302000	+01.799900	+01.261300
+1674.758000	-00.000000	+01.999900	+01.424100	+01.999900	+01.424100
+1645.277000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+1639.833000	-00.000000	+02.399900	+01.708900	+02.399900	+01.708900
+1629.823000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+1607.141000	-00.000000	+02.799900	+01.953100	+02.799900	+01.953100
+1577.441000	-00.000000	+02.999800	+02.115800	+02.999800	+02.075100
+1591.528000	-00.000000	+03.199900	+02.237900	+03.199900	+02.237900
+1580.236000	-00.000000	+03.399900	+02.360000	+03.399900	+02.400700
+1554.955000	-00.000000	+03.599900	+02.522700	+03.599900	+02.522700
+1531.639000	-00.000000	+03.799800	+02.644800	+03.799800	+02.644800
+1496.542000	-00.000000	+03.999900	+02.807600	+03.999900	+02.807600
+1470.516000	-00.000000	+04.199900	+02.929600	+04.199900	+02.929600
+1438.740000	-00.000000	+04.399900	+03.092400	+04.399900	+03.092400
+1405.597000	-00.000000	+04.599800	+03.214500	+04.599800	+03.214500
+1375.799000	-00.000000	+04.799900	+03.336500	+04.799900	+03.336500
+1340.751000	-00.000000	+04.999900	+03.499300	+04.999900	+03.458600
+1313.480000	-00.000000	+05.199900	+03.580700	+05.199900	+03.621400
+1288.699000	-00.000000	+05.399800	+03.743400	+05.399800	+03.784100
+1255.373000	-00.000000	+05.599900	+03.906200	+05.599900	+03.865500
+1216.187000	-00.000000	+05.799900	+04.028300	+05.799900	+04.028300
+1175.744000	-00.000000	+05.999900	+04.150300	+05.999900	+04.150300
+1131.944000	-00.000000	+06.199800	+04.313100	+06.199800	+04.313100
+1082.687000	-00.000000	+06.400000	+04.394500	+06.400000	+04.435200
+1040.291000	-00.000000	+06.599900	+04.557200	+06.599900	+04.557200
+993.048000	-00.000000	+06.799900	+04.679300	+06.799900	+04.679300
+944.987000	-00.000000	+06.999800	+04.801400	+06.999800	+04.801400
+902.615000	-00.000000	+07.200000	+04.923500	+07.200000	+04.923500
+861.013000	-00.000000	+07.399900	+05.045500	+07.399900	+05.045500
+809.705000	-00.000000	+07.599900	+05.167600	+07.599900	+05.167600
+766.002000	-00.000000	+07.799800	+05.249000	+07.799800	+05.249000
+722.190000	-00.000000	+08.000000	+05.411700	+08.000000	+05.411700
+678.390000	-00.000000	+08.199900	+05.493100	+08.199900	+05.533800
+635.139000	-00.000000	+08.399900	+05.615200	+08.399900	+05.655900
+592.950000	-00.000000	+08.599800	+05.737300	+08.599800	+05.737300
+548.137000	-00.000000	+08.800000	+05.900000	+08.800000	+05.900000
+506.717000	-00.000000	+08.999900	+06.022100	+08.999900	+05.981400
+459.780000	-00.000000	+09.199900	+06.144200	+09.199900	+06.144200
+413.245000	-00.000000	+09.399800	+06.225500	+09.399800	+06.266200
+372.045000	-00.000000	+09.600000	+06.388300	+09.600000	+06.347600
+335.130000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+298.263000	-00.000000	+09.999900	+06.591700	+09.999900	+06.632400
+265.523000	-00.000000	+10.199800	+06.713800	+10.199800	+06.713800
+233.955000	-00.000000	+10.399900	+06.835900	+10.399900	+06.835900
+203.754000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+178.497000	-00.000000	+10.799900	+07.039300	+10.799900	+07.039300
+154.875000	-00.000000	+10.999800	+07.161400	+10.999800	+07.161400
+135.392000	-00.000000	+11.199900	+07.242800	+11.199900	+07.283500
+117.399000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+104.337000	-00.000000	+11.599900	+07.486900	+11.599900	+07.486900
+93.692000	-00.000000	+11.799800	+07.609000	+11.799800	+07.568300
+87.539000	-00.000000	+12.000000	+07.690400	+12.000000	+07.731100
+93.985000	-00.000000	+11.799800	+07.568300	+11.799800	+07.568300
+102.506000	-00.000000	+11.599900	+07.486900	+11.599900	+07.486900
+118.522000	-00.000000	+11.399900	+07.364900	+11.399900	+07.364900
+134.880000	-00.000000	+11.199900	+07.242800	+11.199900	+07.283500
+156.352000	-00.000000	+10.999800	+07.120700	+10.999800	+07.161400
+181.964000	-00.000000	+10.799900	+06.998600	+10.799900	+07.039300
+208.979000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+239.192000	-00.000000	+10.399900	+06.835900	+10.399900	+06.835900
+269.893000	-00.000000	+10.199800	+06.713800	+10.199800	+06.713800
+305.844000	-00.000000	+09.999900	+06.591700	+09.999900	+06.591700
+348.106000	-00.000000	+09.799900	+06.429000	+09.799900	+06.469700
+389.636000	-00.000000	+09.600000	+06.347600	+09.600000	+06.347600
+433.473000	-00.000000	+09.399800	+06.225500	+09.399800	+06.225500
+477.541000	-00.000000	+09.199900	+06.103500	+09.199900	+06.144200
+524.564000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+577.996000	-00.000000	+08.800000	+05.900000	+08.800000	+05.859300
