%26/03/2021 12:01:38
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%1-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8
%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+603.729000	-00.000000	+00.000000	+00.000000	+00.000000	-00.040600
+604.572000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
+606.647000	-00.000000	+00.399900	+00.244100	+00.399900	+00.244100
+608.527000	-00.000000	+00.599800	+00.366200	+00.599800	+00.406900
+615.680000	-00.000000	+00.799900	+00.488200	+00.799900	+00.528900
+621.882000	-00.000000	+00.999900	+00.691700	+00.999900	+00.651000
+631.867000	-00.000000	+01.199900	+00.854400	+01.199900	+00.813800
+640.095000	-00.000000	+01.399800	+00.935800	+01.399800	+00.976500
+652.571000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+664.913000	-00.000000	+01.799900	+01.261300	+01.799900	+01.261300
+681.283000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+698.556000	-00.000000	+02.199800	+01.546200	+02.199800	+01.546200
+718.223000	-00.000000	+02.399900	+01.708900	+02.399900	+01.668200
+740.062000	-00.000000	+02.599900	+01.790300	+02.599900	+01.790300
+764.391000	-00.000000	+02.799900	+01.953100	+02.799900	+01.912400
+789.196000	-00.000000	+02.999800	+02.034500	+02.999800	+02.034500
+814.881000	-00.000000	+03.199900	+02.237900	+03.199900	+02.197200
+842.250000	-00.000000	+03.399900	+02.319300	+03.399900	+02.319300
+868.581000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+901.675000	-00.000000	+03.799800	+02.644800	+03.799800	+02.644800
+934.355000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+969.536000	-00.000000	+04.199900	+02.888900	+04.199900	+02.888900
+1006.964000	-00.000000	+04.399900	+03.051700	+04.399900	+03.011000
+1046.211000	-00.000000	+04.599800	+03.173800	+04.599800	+03.173800
+1089.267000	-00.000000	+04.799900	+03.295800	+04.799900	+03.295800
+1138.572000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+1183.215000	-00.000000	+05.199900	+03.540000	+05.199900	+03.540000
+1234.303000	-00.000000	+05.399800	+03.702700	+05.399800	+03.702700
+1289.261000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+1350.212000	-00.000000	+05.799900	+03.987600	+05.799900	+03.946900
+1414.814000	-00.000000	+05.999900	+04.109700	+05.999900	+04.069000
+1478.793000	-00.000000	+06.199800	+04.231700	+06.199800	+04.231700
+1532.041000	-00.000000	+06.400000	+04.353800	+06.400000	+04.353800
+1588.916000	-00.000000	+06.599900	+04.516600	+06.599900	+04.516600
+1652.431000	-00.000000	+06.799900	+04.638600	+06.799900	+04.638600
+1713.590000	-00.000000	+06.999800	+04.760700	+06.999800	+04.760700
+1787.506000	-00.000000	+07.200000	+04.882800	+07.200000	+04.882800
